ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1075850212::Constraint Name,1073742126::Name,1075849176::Physical Name,1075848986::Value  [read only]
1075839170::332,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.AuditTriggeredEmployeeHistoryTimestamp,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::334,DF_Template_InitializeWithUpdate,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.TriggerOption,#NAME?,DF_Template_InitializeWithUpdate,DF_Template_InitializeWithUpdate,'U'
1075839170::338,DF__AuditTrig__Trans__66603565,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.TransactionNumber,,DF__AuditTrig__Trans__66603565,DF__AuditTrig__Trans__66603565,1
1075839170::342,DF_Template_SysStartTime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.SysStart,,DF_Template_SysStartTime,DF_Template_SysStartTime,sysdatetime()
1075839170::344,DF_Template_SysEndTime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.SysEnd,,DF_Template_SysEndTime,DF_Template_SysEndTime,'99991231 23:59:59'
1075839170::346,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.TimestampRowChanged,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::403,DF_Template_SysStartTime,Default Constraint Usage,IndividualMidtermModel.Employee.SysStart,,DF_Template_SysStartTime,DF_Template_SysStartTime,sysdatetime()
1075839170::423,DF_Template_InitializeWithOne,Default Constraint Usage,IndividualMidtermModel.Employee.TransactionNumber,,DF_Template_InitializeWithOne,DF_Template_InitializeWithOne,1
1075839170::431,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.Employee.TimestampRowChanged,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::473,DF_Template_InitializeWithZero,Default Constraint Usage,IndividualMidtermModel.OrderDetail.UnitPrice,,DF_Template_InitializeWithZero,DF_Template_InitializeWithZero,0
1075839170::477,DF_Template_Quantity,Default Constraint Usage,IndividualMidtermModel.OrderDetail.Quantity,,DF_Template_Quantity,DF_Template_Quantity,1
1075839170::481,DF_Template_InitializeWithZero,Default Constraint Usage,IndividualMidtermModel.OrderDetail.DiscountPercentage,,DF_Template_InitializeWithZero,DF_Template_InitializeWithZero,0
1075839170::497,DF_Template_FlagFalse,Default Constraint Usage,IndividualMidtermModel.Product.Discontinued,,DF_Template_FlagFalse,DF_Template_FlagFalse,0
1075839170::753,DF_UserAuthorization_ClassTime_1685274210,Default Constraint Usage,IndividualMidtermModel.UserAuthorization.ClassTime,,DF_UserAuthorization_ClassTime_1685274210,DF_UserAuthorization_ClassTime_1685274210,'9:15'
1075839170::1021,Default_Constraint_Usage_1021,Default Constraint Usage,IndividualMidtermModel.FreightPriceNumber,,Default_Constraint_Usage_1021,Default_Constraint_Usage_1021,0
1075839170::1022,Default_Constraint_Usage_1022,Default Constraint Usage,IndividualMidtermModel.UnitPriceNumber,,Default_Constraint_Usage_1022,Default_Constraint_Usage_1022,0
1075839170::1023,Default_Constraint_Usage_1023,Default Constraint Usage,IndividualMidtermModel.SysEndTime,,Default_Constraint_Usage_1023,Default_Constraint_Usage_1023,'99991231 23:59:59'
1075839170::1024,Default_Constraint_Usage_1024,Default Constraint Usage,IndividualMidtermModel.SysStartTime,,Default_Constraint_Usage_1024,DF_Template_SysStartTime,sysdatetime()
1075839170::1025,Default_Constraint_Usage_1025,Default Constraint Usage,IndividualMidtermModel.DateAdded,,Default_Constraint_Usage_1025,Default_Constraint_Usage_1025,sysdatetime()
1075839170::1027,Default_Constraint_Usage_1027,Default Constraint Usage,IndividualMidtermModel.TimeStampNow,,Default_Constraint_Usage_1027,Default_Constraint_Usage_1027,sysdatetime()
1075839170::1028,Default_Constraint_Usage_1028,Default Constraint Usage,IndividualMidtermModel.PercentageNumber,,Default_Constraint_Usage_1028,Default_Constraint_Usage_1028,0
1075839170::1029,Default_Constraint_Usage_1029,Default Constraint Usage,IndividualMidtermModel.QuantityNumber,,Default_Constraint_Usage_1029,Default_Constraint_Usage_1029,1
1075839170::1030,Default_Constraint_Usage_1030,Default Constraint Usage,IndividualMidtermModel.FlagBitString,,Default_Constraint_Usage_1030,Default_Constraint_Usage_1030,0
1075839170::1038,Default_Constraint_Usage_1038,Default Constraint Usage,IndividualMidtermModel.DateOfLastUpdate,,Default_Constraint_Usage_1038,Default_Constraint_Usage_1038,sysdatetime()
1075839170::1049,Default_Constraint_Usage_1049,Default Constraint Usage,IndividualMidtermModel.ClassTimeString,,Default_Constraint_Usage_1049,Default_Constraint_Usage_1049,'9:15'
1075839170::1069,DF_Template_Sysdatetime_1431552511,Default Constraint Usage,IndividualMidtermModel.Order.DateAdded,,DF_Template_Sysdatetime_1431552511,DF_Template_Sysdatetime_1431552511,sysdatetime()
1075839170::1070,DF_Template_Sysdatetime_1460110691,Default Constraint Usage,IndividualMidtermModel.Order.DateOfLastUpdate,,DF_Template_Sysdatetime_1460110691,DF_Template_Sysdatetime_1460110691,sysdatetime()
1075839170::1275,DF_Template_Sysdatetime_1534461204,Default Constraint Usage,IndividualMidtermModel.UserAuthorization.DateOfOfLastUpdate,,DF_Template_Sysdatetime_1534461204,DF_Template_Sysdatetime_1534461204,sysdatetime()
1075839170::1276,DF_Template_Sysdatetime_1298390765,Default Constraint Usage,IndividualMidtermModel.UserAuthorization.DateAdded,,DF_Template_Sysdatetime_1298390765,DF_Template_Sysdatetime_1298390765,sysdatetime()
1075839170::1295,DF_Template_Sysdatetime_1747570161,Default Constraint Usage,IndividualMidtermModel.Employee.DateAdded,,DF_Template_Sysdatetime_1747570161,DF_Template_Sysdatetime_1747570161,sysdatetime()
1075839170::1296,DF_Template_Sysdatetime_1732904915,Default Constraint Usage,IndividualMidtermModel.Employee.DateOfLastUpdate,,DF_Template_Sysdatetime_1732904915,DF_Template_Sysdatetime_1732904915,sysdatetime()
1075839170::1299,DF_Template_Sysdatetime_1097309054,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.DateAdded,,DF_Template_Sysdatetime_1097309054,DF_Template_Sysdatetime_1097309054,sysdatetime()
1075839170::1301,DF_Template_Sysdatetime_630142459,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.DateOfLastUpdate,,DF_Template_Sysdatetime_630142459,DF_Template_Sysdatetime_630142459,sysdatetime()
1075839170::1304,DF_Template_Sysdatetime_1295056857,Default Constraint Usage,IndividualMidtermModel.VersionedEmployeeHistory.DateAdded,,DF_Template_Sysdatetime_1295056857,DF_Template_Sysdatetime_1295056857,sysdatetime()
1075839170::1306,DF_Template_Sysdatetime_822043297,Default Constraint Usage,IndividualMidtermModel.VersionedEmployeeHistory.DateOfLastUpdate,,DF_Template_Sysdatetime_822043297,DF_Template_Sysdatetime_822043297,sysdatetime()
1075839170::1309,DF_Template_Sysdatetime_828688817,Default Constraint Usage,IndividualMidtermModel.Nums.DateAdded,,DF_Template_Sysdatetime_828688817,DF_Template_Sysdatetime_828688817,sysdatetime()
1075839170::1311,DF_Template_Sysdatetime_149132907,Default Constraint Usage,IndividualMidtermModel.Nums.DateOfLastUpdate,,DF_Template_Sysdatetime_149132907,DF_Template_Sysdatetime_149132907,sysdatetime()
1075839170::1317,DF_Template_Sysdatetime_1747570161,Default Constraint Usage,IndividualMidtermModel.Employee.DateAdded,,DF_Template_Sysdatetime_1747570161,DF_Template_Sysdatetime_1747570161,sysdatetime()
1075839170::1319,DF_Template_Sysdatetime_1732904915,Default Constraint Usage,IndividualMidtermModel.Employee.DateOfLastUpdate,,DF_Template_Sysdatetime_1732904915,DF_Template_Sysdatetime_1732904915,sysdatetime()
1075839170::1372,DF_Template_SysStartTime_1502155184,Default Constraint Usage,IndividualMidtermModel.VersionedEmployeeHistory.SysStart,,DF_Template_SysStartTime_1502155184,DF_Template_SysStartTime_1502155184,sysdatetime()
1075839170::1373,DF_Template_SysEndTime_686707020,Default Constraint Usage,IndividualMidtermModel.VersionedEmployeeHistory.SysEnd,,DF_Template_SysEndTime_686707020,DF_Template_SysEndTime_686707020,'99991231 23:59:59'
1075839170::1374,DF_UserAuthorization_GroupName_1651260507,Default Constraint Usage,IndividualMidtermModel.UserAuthorization.GroupName,,DF_UserAuthorization_GroupName_1651260507,DF_UserAuthorization_GroupName_1651260507,'Group One'
1075839170::1378,DF_UserAuthorization_IndividualProjectName_418397954,Default Constraint Usage,IndividualMidtermModel.UserAuthorization.IndividualProjectName,,DF_UserAuthorization_IndividualProjectName_418397954,DF_UserAuthorization_IndividualProjectName_418397954,'CSCI381 Midterm Project'
1075839170::1381,DF_Template_SysStartTime_1540471834,Default Constraint Usage,IndividualMidtermModel.Employee.SysStart,,DF_Template_SysStartTime_1540471834,DF_Template_SysStartTime_1540471834,sysdatetime()
1075839170::1393,DF_Template_Sysdatetime,Default Constraint Usage,IndividualMidtermModel.VersionedEmployeeHistory.TimestampRowChanged,,DF_Template_Sysdatetime,DF_Template_Sysdatetime,sysdatetime()
1075839170::1422,DF_Template_FlagNo_1501748796,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.IsDeleted,,DF_Template_FlagNo_1501748796,DF_Template_FlagNo_1501748796,'N'
1075839170::1432,DF_Template_SysEndTime_1939047298,Default Constraint Usage,IndividualMidtermModel.Employee.SysEnd,,DF_Template_SysEndTime_1939047298,DF_Template_SysEndTime_1939047298,'99991231 23:59:59'
1075839170::1434,DF_Template_SysEndTime,Default Constraint Usage,IndividualMidtermModel.Employee.SysEnd,,DF_Template_SysEndTime,DF_Template_SysEndTime,'99991231 23:59:59'
1075839170::1442,DF_Template_InitializeWithZero_2017248733,Default Constraint Usage,IndividualMidtermModel.Product.UnitPrice,,DF_Template_InitializeWithZero_2017248733,DF_Template_InitializeWithZero_2017248733,0
1075839170::1470,Default_Constraint_Usage_1470,Default Constraint Usage,IndividualMidtermModel.DbActionString,,Default_Constraint_Usage_1470,Default_Constraint_Usage_1470,'N'
1075839170::1471,DF_Template_FlagNo_861298578,Default Constraint Usage,IndividualMidtermModel.Employee.IsDeleted,,DF_Template_FlagNo_861298578,DF_Template_FlagNo_861298578,'N'
1075839170::1476,Default_Constraint_Usage_1476,Default Constraint Usage,IndividualMidtermModel.TriggerOptionString,,Default_Constraint_Usage_1476,Default_Constraint_Usage_1476,'U'
1075839170::1482,Default_Constraint_Usage_1482,Default Constraint Usage,IndividualMidtermModel.IndividualProjectNameString,,Default_Constraint_Usage_1482,Default_Constraint_Usage_1482,'CSCI381 Midterm Project'
1075839170::1536,Default_Constraint_Usage_1536,Default Constraint Usage,IndividualMidtermModel.sdCurrencyNumber,,Default_Constraint_Usage_1536,Default_Constraint_Usage_1536,0
1075839170::1537,DF_Template_InitializeWithZero_932077928,Default Constraint Usage,IndividualMidtermModel.Employee.Salary,,DF_Template_InitializeWithZero_932077928,DF_Template_InitializeWithZero_932077928,0
1075839170::1538,Default_Constraint_Usage_1538,Default Constraint Usage,IndividualMidtermModel.SalaryNumber,,Default_Constraint_Usage_1538,DF_Template_InitializeWithZero_,0
1075839170::1539,DF_Template_InitializeWithZero_1582339035,Default Constraint Usage,IndividualMidtermModel.AuditTriggeredEmployeeHistory.Salary,,DF_Template_InitializeWithZero_1582339035,DF_Template_InitializeWithZero_1582339035,0
1075839170::1540,DF_Template_InitializeWithZero_932077928,Default Constraint Usage,IndividualMidtermModel.Employee.Salary,,DF_Template_InitializeWithZero_932077928,DF_Template_InitializeWithZero_932077928,0
